station,valid,lon,lat,tmpf,relh,drct,sknt,p01i,vsby,skyc1,wxcodes
ORD,2024-01-01 00:51,-87.9316,41.9602,32.00,78.25,340.00,13.00,0.00,10.00,BKN,null
MDW,2024-01-01 00:53,-87.7524,41.7860,34.00,75.26,350.00,12.00,0.0001,10.00,OVC,-SN
IGQ,2024-01-01 00:55,-87.5295,41.5349,32.40,100.00,340.00,10.00,0.00,7.00,OVC,null
ORD,2024-01-01 01:51,-87.9316,41.9602,32.00,78.25,340.00,14.00,0.0001,9.00,BKN,-SN
MDW,2024-01-01 01:53,-87.7524,41.7860,34.00,75.26,350.00,12.00,0.0001,8.00,OVC,-SN
IGQ,2024-01-01 01:55,-87.5295,41.5349,32.00,100.00,340.00,9.00,0.00,4.00,OVC,-SN
ORD,2024-01-01 02:51,-87.9316,41.9602,32.00,78.25,330.00,11.00,0.0001,10.00,SCT,null
MDW,2024-01-01 02:53,-87.7524,41.7860,33.00,81.63,340.00,10.00,0.0001,7.00,OVC,-SN
IGQ,2024-01-01 02:55,-87.5295,41.5349,null,null,330.00,6.00,0.00,2.50,OVC,-SN
ORD,2024-01-01 03:51,-87.9316,41.9602,31.00,81.48,340.00,12.00,0.00,10.00,BKN,null
MDW,2024-01-01 03:53,-87.7524,41.7860,33.00,78.34,340.00,13.00,0.0001,9.00,OVC,-SN
IGQ,2024-01-01 03:55,-87.5295,41.5349,null,null,330.00,6.00,0.00,2.00,OVC,-SN
ORD,2024-01-01 04:51,-87.9316,41.9602,31.00,74.97,340.00,10.00,0.00,10.00,SCT,null
MDW,2024-01-01 04:53,-87.7524,41.7860,33.00,75.17,340.00,12.00,0.0001,10.00,OVC,null
IGQ,2024-01-01 04:55,-87.5295,41.5349,null,null,330.00,6.00,0.00,1.75,OVC,-SN
ORD,2024-01-01 05:51,-87.9316,41.9602,31.00,71.89,330.00,9.00,0.00,10.00,FEW,null
MDW,2024-01-01 05:53,-87.7524,41.7860,32.00,72.00,330.00,10.00,0.00,10.00,FEW,null
IGQ,2024-01-01 05:55,-87.5295,41.5349,null,null,340.00,6.00,0.00,4.00,BKN,-SN
ORD,2024-01-01 06:51,-87.9316,41.9602,30.00,74.87,340.00,7.00,0.00,10.00,FEW,null
MDW,2024-01-01 06:53,-87.7524,41.7860,32.00,69.04,350.00,11.00,0.00,10.00,OVC,null
IGQ,2024-01-01 06:55,-87.5295,41.5349,31.30,100.00,340.00,6.00,0.00,10.00,OVC,null
ORD,2024-01-01 07:51,-87.9316,41.9602,31.00,71.89,340.00,7.00,0.00,10.00,SCT,null
MDW,2024-01-01 07:53,-87.7524,41.7860,32.00,69.04,340.00,11.00,0.00,10.00,OVC,null
IGQ,2024-01-01 07:55,-87.5295,41.5349,31.00,98.79,340.00,6.00,0.00,10.00,OVC,null
ORD,2024-01-01 08:51,-87.9316,41.9602,31.00,71.89,330.00,9.00,0.00,10.00,FEW,null
MDW,2024-01-01 08:53,-87.7524,41.7860,32.00,69.04,360.00,9.00,0.00,10.00,FEW,null
IGQ,2024-01-01 08:55,-87.5295,41.5349,31.00,96.02,340.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 09:51,-87.9316,41.9602,32.00,69.04,310.00,9.00,0.00,10.00,FEW,null
MDW,2024-01-01 09:53,-87.7524,41.7860,33.00,66.32,310.00,8.00,0.00,10.00,FEW,null
IGQ,2024-01-01 09:55,-87.5295,41.5349,31.50,94.87,330.00,4.00,0.00,10.00,OVC,null
ORD,2024-01-01 10:51,-87.9316,41.9602,31.00,68.92,290.00,7.00,0.00,10.00,FEW,null
MDW,2024-01-01 10:53,-87.7524,41.7860,34.00,66.45,310.00,8.00,0.00,10.00,FEW,null
IGQ,2024-01-01 10:55,-87.5295,41.5349,32.00,92.22,360.00,3.00,0.00,10.00,OVC,null
ORD,2024-01-01 11:51,-87.9316,41.9602,31.00,66.07,270.00,6.00,0.00,7.00,FEW,null
MDW,2024-01-01 11:53,-87.7524,41.7860,34.00,63.72,310.00,9.00,0.00,10.00,OVC,null
IGQ,2024-01-01 11:55,-87.5295,41.5349,33.60,91.16,300.00,4.00,0.00,10.00,BKN,null
ORD,2024-01-01 12:51,-87.9316,41.9602,31.00,68.92,310.00,5.00,0.0001,10.00,OVC,null
MDW,2024-01-01 12:53,-87.7524,41.7860,33.00,63.59,300.00,7.00,0.00,10.00,OVC,null
IGQ,2024-01-01 12:55,-87.5295,41.5349,33.30,88.96,290.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 13:51,-87.9316,41.9602,31.00,68.92,270.00,6.00,0.00,10.00,OVC,null
MDW,2024-01-01 13:53,-87.7524,41.7860,33.00,63.59,290.00,10.00,0.00,10.00,OVC,null
IGQ,2024-01-01 13:55,-87.5295,41.5349,32.70,87.85,280.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 14:51,-87.9316,41.9602,31.00,68.92,260.00,8.00,0.00,10.00,OVC,null
MDW,2024-01-01 14:53,-87.7524,41.7860,32.00,66.20,280.00,10.00,0.00,10.00,OVC,null
IGQ,2024-01-01 14:55,-87.5295,41.5349,32.00,88.53,280.00,9.00,0.00,10.00,OVC,null
ORD,2024-01-01 15:51,-87.9316,41.9602,30.00,68.81,270.00,7.00,0.00,10.00,OVC,null
MDW,2024-01-01 15:53,-87.7524,41.7860,31.00,66.07,290.00,9.00,0.00,10.00,OVC,null
IGQ,2024-01-01 15:55,-87.5295,41.5349,31.60,87.08,280.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 16:51,-87.9316,41.9602,30.00,71.78,250.00,7.00,0.00,10.00,OVC,null
MDW,2024-01-01 16:53,-87.7524,41.7860,32.00,66.20,270.00,8.00,0.00,10.00,OVC,null
IGQ,2024-01-01 16:55,-87.5295,41.5349,30.60,89.93,290.00,6.00,0.00,10.00,OVC,null
ORD,2024-01-01 17:51,-87.9316,41.9602,30.00,71.78,260.00,6.00,0.00,10.00,OVC,null
MDW,2024-01-01 17:53,-87.7524,41.7860,31.00,68.92,280.00,9.00,0.00,10.00,OVC,null
IGQ,2024-01-01 17:55,-87.5295,41.5349,30.00,92.15,280.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 18:51,-87.9316,41.9602,30.00,71.78,230.00,8.00,0.00,10.00,OVC,null
MDW,2024-01-01 18:53,-87.7524,41.7860,31.00,68.92,290.00,10.00,0.00,10.00,OVC,null
IGQ,2024-01-01 18:55,-87.5295,41.5349,30.40,93.69,280.00,9.00,0.00,10.00,OVC,null
ORD,2024-01-01 19:51,-87.9316,41.9602,29.00,74.77,250.00,8.00,0.00,10.00,OVC,null
MDW,2024-01-01 19:53,-87.7524,41.7860,31.00,68.92,250.00,9.00,0.00,10.00,OVC,null
IGQ,2024-01-01 19:55,-87.5295,41.5349,30.00,93.68,280.00,7.00,0.00,10.00,OVC,null
ORD,2024-01-01 20:51,-87.9316,41.9602,29.00,74.77,240.00,8.00,0.00,10.00,OVC,null
MDW,2024-01-01 20:53,-87.7524,41.7860,30.00,71.78,250.00,12.00,0.00,10.00,OVC,null
IGQ,2024-01-01 20:55,-87.5295,41.5349,29.00,93.26,270.00,11.00,0.00,10.00,OVC,null
ORD,2024-01-01 21:51,-87.9316,41.9602,27.00,77.80,240.00,9.00,0.00,10.00,OVC,null
MDW,2024-01-01 21:53,-87.7524,41.7860,29.00,71.67,250.00,12.00,0.00,10.00,OVC,null
IGQ,2024-01-01 21:55,-87.5295,41.5349,29.00,92.12,250.00,13.00,0.00,10.00,OVC,null
ORD,2024-01-01 22:51,-87.9316,41.9602,27.00,77.80,250.00,12.00,0.00,10.00,OVC,null
MDW,2024-01-01 22:53,-87.7524,41.7860,29.00,74.77,240.00,13.00,0.00,10.00,OVC,null
IGQ,2024-01-01 22:55,-87.5295,41.5349,29.00,94.03,250.00,8.00,0.00,10.00,OVC,null
ORD,2024-01-01 23:51,-87.9316,41.9602,27.00,81.17,240.00,13.00,0.00,10.00,OVC,null
MDW,2024-01-01 23:53,-87.7524,41.7860,29.00,74.77,250.00,15.00,0.00,10.00,OVC,null
IGQ,2024-01-01 23:55,-87.5295,41.5349,28.40,97.17,250.00,13.00,0.00,10.00,OVC,null
ORD,2024-01-02 00:51,-87.9316,41.9602,27.00,81.17,240.00,11.00,0.00,10.00,OVC,null
MDW,2024-01-02 00:53,-87.7524,41.7860,29.00,74.77,250.00,10.00,0.00,10.00,OVC,null
IGQ,2024-01-02 00:55,-87.5295,41.5349,27.50,100.00,260.00,13.00,0.00,10.00,OVC,null
ORD,2024-01-02 01:51,-87.9316,41.9602,27.00,81.17,250.00,10.00,0.00,10.00,OVC,null
MDW,2024-01-02 01:53,-87.7524,41.7860,28.00,77.89,260.00,11.00,0.00,10.00,OVC,null
IGQ,2024-01-02 01:55,-87.5295,41.5349,27.50,100.00,250.00,12.00,0.00,10.00,OVC,null
ORD,2024-01-02 02:51,-87.9316,41.9602,27.00,77.80,240.00,11.00,0.00,10.00,OVC,null
MDW,2024-01-02 02:53,-87.7524,41.7860,29.00,74.77,270.00,14.00,0.00,10.00,OVC,null
IGQ,2024-01-02 02:55,-87.5295,41.5349,27.50,100.00,230.00,13.00,0.00,10.00,OVC,null
ORD,2024-01-02 03:51,-87.9316,41.9602,28.00,77.89,240.00,9.00,0.00,10.00,OVC,null
MDW,2024-01-02 03:53,-87.7524,41.7860,29.00,74.77,260.00,10.00,0.00,10.00,OVC,null
IGQ,2024-01-02 03:55,-87.5295,41.5349,28.00,100.00,270.00,11.00,0.00,10.00,OVC,null
ORD,2024-01-02 04:51,-87.9316,41.9602,28.00,77.89,230.00,9.00,0.00,10.00,BKN,null
MDW,2024-01-02 04:53,-87.7524,41.7860,29.00,74.77,250.00,11.00,0.00,10.00,OVC,null
IGQ,2024-01-02 04:55,-87.5295,41.5349,28.00,95.97,260.00,12.00,0.00,10.00,OVC,null
ORD,2024-01-02 05:51,-87.9316,41.9602,27.00,81.17,210.00,9.00,0.00,10.00,FEW,null
MDW,2024-01-02 05:53,-87.7524,41.7860,28.00,77.89,220.00,9.00,0.00,10.00,SCT,null
IGQ,2024-01-02 05:55,-87.5295,41.5349,28.20,97.16,230.00,8.00,0.00,10.00,OVC,null
ORD,2024-01-02 06:51,-87.9316,41.9602,26.00,84.59,210.00,11.00,0.00,10.00,FEW,null
MDW,2024-01-02 06:53,-87.7524,41.7860,28.00,77.89,220.00,10.00,0.00,10.00,FEW,null
IGQ,2024-01-02 06:55,-87.5295,41.5349,27.00,100.00,220.00,11.00,0.00,10.00,BKN,null
