station,valid,lon,lat,tmpf,relh,drct,sknt,p01i,vsby,skyc1,wxcodes
ORD,2026-04-13 00:51,-87.9316,41.9602,62.00,89.89,240.00,13.00,0.02,10.00,BKN,null
MDW,2026-04-13 00:53,-87.7524,41.7860,63.00,86.79,250.00,14.00,0.01,10.00,OVC,-RA
IGQ,2026-04-13 00:55,-87.5295,41.5349,62.60,84.01,230.00,17.00,0.00,10.00,BKN,null
ORD,2026-04-13 01:51,-87.9316,41.9602,62.00,93.16,230.00,11.00,0.01,10.00,OVC,null
MDW,2026-04-13 01:53,-87.7524,41.7860,64.00,86.84,240.00,12.00,0.0001,10.00,OVC,null
IGQ,2026-04-13 01:55,-87.5295,41.5349,64.40,82.63,240.00,13.00,0.00,10.00,OVC,null
ORD,2026-04-13 02:51,-87.9316,41.9602,63.00,89.94,230.00,11.00,0.00,10.00,OVC,null
MDW,2026-04-13 02:53,-87.7524,41.7860,64.00,89.98,250.00,18.00,0.00,10.00,OVC,null
IGQ,2026-04-13 02:55,-87.5295,41.5349,64.00,86.84,240.00,13.00,0.00,10.00,OVC,null
ORD,2026-04-13 03:51,-87.9316,41.9602,64.00,89.98,230.00,13.00,0.00,10.00,OVC,null
MDW,2026-04-13 03:53,-87.7524,41.7860,65.00,86.89,230.00,12.00,0.00,10.00,OVC,null
IGQ,2026-04-13 03:55,-87.5295,41.5349,64.00,87.77,230.00,13.00,0.00,10.00,OVC,null
ORD,2026-04-13 04:51,-87.9316,41.9602,65.00,86.89,230.00,13.00,0.00,10.00,OVC,null
MDW,2026-04-13 04:53,-87.7524,41.7860,65.00,90.02,250.00,11.00,0.00,10.00,OVC,null
IGQ,2026-04-13 04:55,-87.5295,41.5349,63.70,85.90,240.00,12.00,0.00,10.00,BKN,null
ORD,2026-04-13 05:51,-87.9316,41.9602,65.00,86.89,220.00,13.00,0.00,10.00,SCT,null
MDW,2026-04-13 05:53,-87.7524,41.7860,65.00,86.89,250.00,11.00,0.00,10.00,OVC,null
IGQ,2026-04-13 05:55,-87.5295,41.5349,63.00,86.79,240.00,8.00,0.00,10.00,BKN,null
ORD,2026-04-13 06:51,-87.9316,41.9602,65.00,86.89,220.00,9.00,0.00,10.00,FEW,null
MDW,2026-04-13 06:53,-87.7524,41.7860,65.00,86.89,240.00,11.00,0.00,10.00,FEW,null
IGQ,2026-04-13 06:55,-87.5295,41.5349,64.00,85.31,240.00,11.00,0.00,10.00,BKN,null
ORD,2026-04-13 07:51,-87.9316,41.9602,64.00,93.22,220.00,9.00,0.0001,8.00,BKN,-DZ
MDW,2026-04-13 07:53,-87.7524,41.7860,65.00,90.02,240.00,11.00,0.0001,9.00,BKN,-DZ
IGQ,2026-04-13 07:55,-87.5295,41.5349,65.50,83.60,240.00,11.00,0.00,10.00,OVC,null
ORD,2026-04-13 08:51,-87.9316,41.9602,64.00,93.22,210.00,7.00,0.0001,8.00,BKN,null
MDW,2026-04-13 08:53,-87.7524,41.7860,66.00,90.06,240.00,10.00,0.0001,10.00,BKN,null
IGQ,2026-04-13 08:55,-87.5295,41.5349,67.00,81.07,240.00,12.00,0.00,10.00,OVC,null
ORD,2026-04-13 09:51,-87.9316,41.9602,66.00,86.95,220.00,9.00,0.00,10.00,BKN,null
MDW,2026-04-13 09:53,-87.7524,41.7860,68.00,84.05,230.00,10.00,0.00,10.00,OVC,null
IGQ,2026-04-13 09:55,-87.5295,41.5349,68.70,79.22,240.00,12.00,0.00,10.00,SCT,null
ORD,2026-04-13 10:51,-87.9316,41.9602,68.00,84.05,210.00,8.00,0.00,10.00,BKN,null
MDW,2026-04-13 10:53,-87.7524,41.7860,71.00,78.57,230.00,10.00,0.00,10.00,FEW,null
IGQ,2026-04-13 10:55,-87.5295,41.5349,71.00,75.87,240.00,9.00,0.00,10.00,SCT,null
ORD,2026-04-13 11:51,-87.9316,41.9602,71.00,78.57,210.00,12.00,0.00,10.00,SCT,null
MDW,2026-04-13 11:53,-87.7524,41.7860,72.00,75.96,230.00,12.00,0.00,10.00,SCT,null
IGQ,2026-04-13 11:55,-87.5295,41.5349,72.70,72.39,240.00,8.00,0.00,10.00,SCT,null
ORD,2026-04-13 12:51,-87.9316,41.9602,72.00,73.34,220.00,11.00,0.00,10.00,OVC,null
MDW,2026-04-13 12:53,-87.7524,41.7860,74.00,71.02,240.00,12.00,0.00,10.00,BKN,null
IGQ,2026-04-13 12:55,-87.5295,41.5349,76.00,65.74,240.00,10.00,0.00,10.00,SCT,null
ORD,2026-04-13 13:51,-87.9316,41.9602,74.00,68.57,210.00,11.00,0.00,10.00,FEW,null
MDW,2026-04-13 13:53,-87.7524,41.7860,75.00,71.12,260.00,9.00,0.00,10.00,FEW,null
IGQ,2026-04-13 13:55,-87.5295,41.5349,78.00,60.04,240.00,13.00,0.00,10.00,SCT,null
ORD,2026-04-13 14:51,-87.9316,41.9602,73.00,70.91,220.00,8.00,0.00,10.00,SCT,null
MDW,2026-04-13 14:53,-87.7524,41.7860,74.00,71.02,250.00,11.00,0.00,10.00,BKN,null
IGQ,2026-04-13 14:55,-87.5295,41.5349,74.70,68.17,270.00,9.00,0.00,10.00,SCT,-RA
ORD,2026-04-13 15:51,-87.9316,41.9602,77.00,59.91,200.00,9.00,0.00,10.00,FEW,null
MDW,2026-04-13 15:53,-87.7524,41.7860,76.00,71.23,200.00,10.00,0.01,10.00,FEW,null
IGQ,2026-04-13 15:55,-87.5295,41.5349,74.70,50.69,160.00,7.00,0.00,10.00,CLR,null
ORD,2026-04-13 16:51,-87.9316,41.9602,78.00,55.95,190.00,13.00,0.00,10.00,FEW,null
MDW,2026-04-13 16:53,-87.7524,41.7860,78.00,46.78,170.00,14.00,0.00,10.00,SCT,null
IGQ,2026-04-13 16:55,-87.5295,41.5349,72.50,51.86,180.00,10.00,0.00,10.00,SCT,null
ORD,2026-04-13 17:51,-87.9316,41.9602,77.00,44.95,200.00,10.00,0.00,10.00,SCT,null
MDW,2026-04-13 17:53,-87.7524,41.7860,75.00,48.04,null,6.00,0.00,10.00,FEW,null
IGQ,2026-04-13 17:55,-87.5295,41.5349,71.80,64.08,180.00,8.00,0.00,10.00,SCT,null
ORD,2026-04-13 18:51,-87.9316,41.9602,73.00,57.28,180.00,7.00,0.05,10.00,FEW,-TSRA
MDW,2026-04-13 18:53,-87.7524,41.7860,74.00,55.39,180.00,6.00,0.00,10.00,SCT,TS
IGQ,2026-04-13 18:55,-87.5295,41.5349,72.70,66.75,200.00,11.00,0.00,10.00,CLR,null
ORD,2026-04-13 19:51,-87.9316,41.9602,73.00,63.78,170.00,12.00,0.0001,10.00,FEW,null
MDW,2026-04-13 19:53,-87.7524,41.7860,75.00,64.02,190.00,19.00,0.00,10.00,FEW,null
IGQ,2026-04-13 19:55,-87.5295,41.5349,72.00,67.38,200.00,11.00,0.00,10.00,CLR,null
ORD,2026-04-13 20:51,-87.9316,41.9602,74.00,66.20,170.00,15.00,0.00,10.00,FEW,null
MDW,2026-04-13 20:53,-87.7524,41.7860,75.00,64.02,190.00,19.00,0.00,10.00,FEW,null
IGQ,2026-04-13 20:55,-87.5295,41.5349,71.60,66.86,190.00,15.00,0.00,10.00,CLR,null
ORD,2026-04-13 21:51,-87.9316,41.9602,73.00,68.46,190.00,13.00,0.00,10.00,FEW,null
MDW,2026-04-13 21:53,-87.7524,41.7860,73.00,66.08,190.00,16.00,0.00,10.00,CLR,null
IGQ,2026-04-13 21:55,-87.5295,41.5349,70.30,69.88,180.00,12.00,0.00,10.00,CLR,null
ORD,2026-04-13 22:51,-87.9316,41.9602,72.00,70.81,190.00,14.00,0.00,10.00,SCT,null
MDW,2026-04-13 22:53,-87.7524,41.7860,73.00,68.46,200.00,16.00,0.00,10.00,FEW,null
IGQ,2026-04-13 22:55,-87.5295,41.5349,69.80,71.84,200.00,13.00,0.00,10.00,CLR,null
ORD,2026-04-13 23:51,-87.9316,41.9602,72.00,70.81,200.00,16.00,0.00,10.00,BKN,null
MDW,2026-04-13 23:53,-87.7524,41.7860,71.00,73.24,210.00,15.00,0.00,10.00,OVC,null
IGQ,2026-04-13 23:55,-87.5295,41.5349,69.00,75.69,210.00,15.00,0.00,10.00,CLR,null
ORD,2026-04-14 00:51,-87.9316,41.9602,72.00,70.81,210.00,15.00,0.00,10.00,FEW,null
MDW,2026-04-14 00:53,-87.7524,41.7860,71.00,75.87,210.00,17.00,0.00,10.00,FEW,null
IGQ,2026-04-14 00:55,-87.5295,41.5349,69.30,74.91,210.00,17.00,0.00,10.00,CLR,null
ORD,2026-04-14 01:51,-87.9316,41.9602,71.00,73.24,210.00,19.00,0.00,10.00,FEW,null
MDW,2026-04-14 01:53,-87.7524,41.7860,71.00,73.24,210.00,18.00,0.00,10.00,SCT,null
IGQ,2026-04-14 01:55,-87.5295,41.5349,69.00,75.15,210.00,16.00,0.00,10.00,CLR,null
ORD,2026-04-14 02:51,-87.9316,41.9602,71.00,73.24,220.00,19.00,0.00,10.00,SCT,null
MDW,2026-04-14 02:53,-87.7524,41.7860,71.00,73.24,220.00,18.00,0.00,10.00,FEW,null
IGQ,2026-04-14 02:55,-87.5295,41.5349,68.00,77.77,210.00,15.00,0.00,10.00,CLR,null
ORD,2026-04-14 03:51,-87.9316,41.9602,62.00,80.70,340.00,10.00,0.0001,10.00,SCT,TS
MDW,2026-04-14 03:53,-87.7524,41.7860,65.00,70.05,360.00,12.00,0.00,10.00,FEW,null
IGQ,2026-04-14 03:55,-87.5295,41.5349,67.00,80.50,210.00,11.00,0.00,10.00,CLR,null
ORD,2026-04-14 04:51,-87.9316,41.9602,61.00,83.60,50.00,10.00,0.02,10.00,SCT,null
MDW,2026-04-14 04:53,-87.7524,41.7860,62.00,77.82,60.00,9.00,0.0001,10.00,FEW,null
IGQ,2026-04-14 04:55,-87.5295,41.5349,59.00,80.47,30.00,11.00,0.00,10.00,OVC,null
ORD,2026-04-14 05:51,-87.9316,41.9602,58.00,86.51,70.00,5.00,0.01,6.00,FEW,-RA BR
MDW,2026-04-14 05:53,-87.7524,41.7860,60.00,80.54,80.00,13.00,0.00,10.00,BKN,null
IGQ,2026-04-14 05:55,-87.5295,41.5349,58.00,82.49,60.00,7.00,0.00,10.00,BKN,null
ORD,2026-04-14 06:51,-87.9316,41.9602,57.00,93.01,130.00,8.00,0.18,10.00,SCT,TS
MDW,2026-04-14 06:53,-87.7524,41.7860,58.00,89.73,120.00,6.00,0.02,10.00,SCT,-RA
IGQ,2026-04-14 06:55,-87.5295,41.5349,56.50,91.32,30.00,4.00,0.00,10.00,BKN,-RA
ORD,2026-04-14 07:51,-87.9316,41.9602,57.00,93.01,150.00,11.00,0.01,10.00,FEW,null
MDW,2026-04-14 07:53,-87.7524,41.7860,58.00,89.73,150.00,13.00,0.03,10.00,FEW,null
IGQ,2026-04-14 07:55,-87.5295,41.5349,57.20,92.34,130.00,7.00,0.00,10.00,SCT,-RA
ORD,2026-04-14 08:51,-87.9316,41.9602,60.00,83.54,180.00,11.00,0.00,10.00,BKN,null
MDW,2026-04-14 08:53,-87.7524,41.7860,60.00,86.62,180.00,5.00,0.00,10.00,SCT,null
IGQ,2026-04-14 08:55,-87.5295,41.5349,59.40,93.08,170.00,8.00,0.00,10.00,CLR,null
ORD,2026-04-14 09:51,-87.9316,41.9602,66.00,78.16,180.00,8.00,0.00,10.00,FEW,null
MDW,2026-04-14 09:53,-87.7524,41.7860,65.00,83.86,180.00,8.00,0.00,10.00,FEW,null
