y_pred,y_test,census_tract,date
0.0,0,17031071600,2026-04-26
0.0,0,17031411400,2026-04-26
0.0,0,17031601100,2026-04-26
0.0,0,17031810501,2025-12-14
0.0,0,17031190200,2025-09-11
0.0,0,17031490800,2025-11-24
0.0,0,17031251900,2025-06-20
0.0,0,17031601200,2025-04-02
0.0,0,17031283900,2025-06-20
0.0,0,17031530100,2025-04-02
0.0,0,17031600100,2025-06-20
4.043141716572266,0,17031410100,2025-06-20
0.0,0,17031510200,2025-04-02
0.0,0,17031720600,2026-04-14
6.169304280176865,0,17031020600,2025-11-18
0.0,0,17031601200,2025-01-11
0.0,0,17031283900,2025-07-19
0.0,0,17031071600,2025-11-18
0.0,1,17031063200,2025-01-11
1.365230073309755,0,17031430200,2025-11-18
1.2167602903052384,0,17031430200,2025-07-19
0.0,0,17031120100,2025-07-01
0.0,0,17031350800,2026-03-11
0.0,0,17031051400,2026-03-11
0.0,0,17031080400,2025-11-30
0.0,5,17031080200,2025-11-30
0.0,0,17031350800,2026-01-10
0.0,0,17031290600,2026-01-10
2.2244660160517515,0,17031310200,2026-01-10
0.0,0,17031301600,2025-07-12
0.0,0,17031430900,2025-09-07
0.0,0,17031490800,2026-03-18
0.0,0,17031730600,2025-08-13
0.8202742739863922,0,17031284300,2025-08-13
0.0,0,17031292400,2025-08-13
0.0,0,17031290600,2025-07-25
0.0,0,17031062300,2025-07-25
0.0,0,17031681100,2025-10-21
0.0,0,17031490800,2025-10-21
0.0,0,17031240100,2025-01-14
0.0,0,17031231200,2025-01-14
0.0,0,17031411400,2025-09-27
0.0,0,17031660900,2025-09-27
0.19317478409318234,0,17031284300,2025-09-27
0.0,0,17031430900,2025-08-24
10.497675196559971,0,17031220600,2025-02-09
1.0943457267122625,0,17031242400,2025-02-09
1.0865789533760584,0,17031030200,2025-10-16
0.0,0,17031190200,2025-10-16
0.0,0,17031051400,2025-02-09
0.0,0,17031150700,2025-11-27
0.0,0,17031660900,2025-11-27
0.0,0,17031292400,2025-11-27
0.0,0,17031720200,2025-11-27
0.0,0,17031600200,2025-06-23
0.0,0,17031611500,2025-06-23
0.0,0,17031390200,2025-05-06
0.0,0,17031283400,2025-05-06
0.0,0,17031660900,2026-02-07
0.0,0,17031601100,2026-02-07
6.06843715629641,0,17031020600,2026-02-07
0.0,0,17031490800,2025-07-01
0.0,0,17031283400,2025-09-07
0.0,0,17031251900,2025-09-07
0.0,0,17031283900,2025-09-07
0.0,0,17031411400,2025-09-07
0.0,17,17031080200,2025-09-07
0.0,0,17031260600,2026-03-18
0.0,0,17031600100,2025-09-07
0.0,0,17031062300,2026-03-18
0.0,0,17031060200,2026-03-18
0.0,0,17031071600,2025-06-29
1.3043096604266262,2,17031430200,2025-06-29
0.0,0,17031720600,2026-02-27
3.5731933986493143,0,17031600800,2026-02-27
0.0,0,17031251900,2026-02-27
0.0,0,17031601100,2026-02-27
0.0,0,17031490800,2026-02-27
0.0,0,17031283400,2026-03-24
1.4926842348058882,0,17031580600,2026-03-24
0.3253722134426482,0,17031284300,2026-03-24
0.0,0,17031120100,2025-05-24
0.5615475192368669,1,17031030200,2025-05-24
0.0,0,17031150700,2025-05-24
3.878330675265924,0,17031600800,2025-01-23
1.634472001372255,0,17031580600,2025-01-23
0.0,12,17031063200,2025-01-23
0.0,0,17031611500,2025-01-23
0.0,0,17031290600,2025-12-04
0.25447401264786684,0,17031590400,2025-12-04
0.0,0,17031600100,2025-12-04
0.0,0,17031720200,2025-12-04
0.0,0,17031283400,2025-09-03
0.0,0,17031290700,2025-09-03
0.5859675168986662,0,17031284300,2025-09-03
0.0,0,17031490300,2026-04-30
0.0,0,17031720600,2026-04-30
0.0,0,17031240100,2026-04-30
0.0,0,17031530100,2026-04-30
0.0,9,17031411400,2026-04-30
0.0,0,17031810501,2026-04-30
0.0,0,17031292400,2026-04-30
3.8748376282200896,1,17031410100,2026-04-30
0.0,0,17031430900,2026-04-30
0.0,0,17031720600,2025-11-14
2.7913096189002022,0,17031310200,2025-11-14
0.0,0,17031290700,2025-11-14
0.0,0,17031292400,2025-11-14
0.35729498450361685,0,17031610700,2025-11-14
0.0,0,17031601200,2025-09-11
2.0764957925843284,0,17031580600,2025-09-11
0.03462322716227639,0,17031611500,2025-09-11
0.0,0,17031490800,2025-09-11
4.220008327576144,0,17031600800,2025-08-06
0.8179808139505811,0,17031590400,2025-08-06
0.0,0,17031062300,2025-08-06
0.0,0,17031292400,2025-08-06
0.0,0,17031390200,2026-04-14
0.0,2,17031411400,2026-04-14
0.0,0,17031810501,2026-02-13
0.6276540723079043,0,17031030200,2025-03-21
6.431407976030744,0,17031020600,2025-03-21
11.295554836334915,0,17031220600,2025-05-15
0.7773039878204893,0,17031590400,2025-05-15
0.0,0,17031660900,2025-11-08
0.0,0,17031150700,2025-11-30
0.0,0,17031060200,2025-02-27
1.3059954772797777,0,17031242400,2026-01-13
0.0,0,17031283900,2025-07-12
0.0,0,17031292400,2025-07-12
3.9800329643551793,1,17031410100,2025-07-12
0.0,0,17031051400,2025-07-12
0.0,0,17031231200,2025-07-12
0.0,0,17031283400,2025-07-14
2.163228602168445,0,17031310200,2025-07-14
0.0,0,17031260600,2025-07-14
0.0,0,17031150700,2026-01-10
0.0,0,17031220300,2025-09-22
0.0,0,17031290600,2025-09-22
0.1783282073171133,0,17031590400,2025-09-22
0.0,0,17031611500,2025-09-22
0.0,0,17031283400,2025-06-27
11.317354301617774,7,17031243500,2025-06-27
0.0,0,17031590400,2026-03-10
1.0303509831644604,0,17031430200,2026-03-10
0.0,47,17031080200,2026-03-10
0.0,0,17031430900,2026-03-10
6.518390493121626,0,17031020600,2025-07-25
0.0,0,17031490300,2025-12-18
1.7499687201456489,0,17031430200,2025-12-18
0.0,1,17031062300,2025-12-18
0.0,0,17031430900,2025-12-18
0.0,0,17031240100,2026-02-01
0.0,0,17031411400,2026-02-01
0.0,0,17031290600,2026-02-01
0.0,0,17031190200,2025-11-05
0.0,0,17031350800,2025-08-30
0.0,0,17031071600,2025-08-30
0.0,0,17031290700,2025-08-30
