y_pred,y_test,census_tract,date
0,0,17031200600,2025-12-25 04:00:00
1,0,17031410800,2025-07-10 04:00:00
0,0,17031691500,2025-07-10 08:00:00
0,0,17031450300,2025-07-10 08:00:00
0,0,17031450300,2025-12-25 08:00:00
0,0,17031691500,2025-07-10 00:00:00
0,0,17031381000,2025-07-10 00:00:00
0,0,17031251000,2025-07-10 00:00:00
0,0,17031450300,2025-07-10 00:00:00
0,0,17031670800,2026-01-10 08:00:00
0,0,17031581000,2025-12-25 20:00:00
1,0,17031241500,2025-12-25 20:00:00
0,0,17031251000,2026-01-10 08:00:00
0,0,17031200600,2026-01-10 08:00:00
0,0,17031450300,2026-01-10 00:00:00
0,0,17031200600,2025-12-25 12:00:00
0,0,17031590200,2025-12-25 16:00:00
3,0,17031410800,2025-12-25 16:00:00
0,0,17031670200,2026-01-10 20:00:00
0,0,17031381000,2026-01-10 20:00:00
0,0,17031420200,2026-01-10 04:00:00
0,0,17031420200,2026-01-10 20:00:00
1,0,17031241500,2026-01-10 20:00:00
0,0,17031691500,2026-01-10 16:00:00
0,0,17031420200,2026-01-10 16:00:00
2,0,17031580500,2026-01-10 16:00:00
0,0,17031691500,2025-07-10 04:00:00
0,0,17031251000,2025-07-10 04:00:00
0,0,17031670800,2025-07-10 16:00:00
0,0,17031420200,2025-12-25 08:00:00
3,0,17031410800,2026-01-10 12:00:00
0,0,17031670200,2025-07-10 20:00:00
0,0,17031581000,2025-07-10 00:00:00
2,0,17031241500,2026-01-10 12:00:00
2,0,17031580500,2026-01-10 12:00:00
0,0,17031450300,2025-07-10 20:00:00
1,0,17031601300,2025-07-10 12:00:00
0,0,17031251100,2026-01-10 00:00:00
0,0,17031590200,2026-01-10 04:00:00
0,0,17031670800,2026-01-10 20:00:00
0,0,17031381000,2025-12-25 16:00:00
0,0,17031450300,2026-01-10 04:00:00
2,0,17031380700,2026-01-10 16:00:00
0,0,17031670200,2025-12-25 00:00:00
0,0,17031450300,2025-12-25 04:00:00
0,0,17031670200,2025-07-10 08:00:00
0,0,17031251100,2025-07-10 04:00:00
1,0,17031410800,2025-07-10 00:00:00
0,0,17031420200,2025-07-10 00:00:00
0,0,17031660800,2026-01-10 00:00:00
1,0,17031410800,2025-07-10 12:00:00
0,0,17031670800,2025-07-10 12:00:00
0,0,17031251100,2026-01-10 08:00:00
0,0,17031670800,2025-12-25 12:00:00
0,0,17031601300,2025-12-25 12:00:00
0,0,17031660800,2025-12-25 16:00:00
2,0,17031410800,2026-01-10 20:00:00
0,0,17031660800,2025-12-25 04:00:00
1,0,17031410800,2025-12-25 00:00:00
0,0,17031420200,2025-12-25 00:00:00
0,0,17031380700,2025-07-10 08:00:00
0,0,17031660800,2025-12-25 08:00:00
0,0,17031691500,2025-12-25 20:00:00
0,0,17031670200,2025-12-25 20:00:00
1,0,17031241500,2025-07-10 12:00:00
0,0,17031450300,2025-12-25 20:00:00
0,0,17031590200,2025-12-25 12:00:00
0,0,17031580500,2025-12-25 16:00:00
0,0,17031200600,2025-12-25 16:00:00
0,0,17031251100,2025-12-25 00:00:00
0,0,17031200600,2025-12-25 00:00:00
0,0,17031660800,2025-07-10 08:00:00
0,0,17031590200,2025-07-10 04:00:00
