epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step
0,49,,0.790123462677002,,0.5045770406723022
0,99,,0.8648648858070374,,0.39899784326553345
0,147,0.790017306804657,,0.5410261750221252,
1,149,,0.8205128312110901,,0.4578165113925934
1,199,,0.8101266026496887,,0.4964093565940857
1,249,,0.7654321193695068,,0.4986426830291748
1,295,0.8082266449928284,,0.48099613189697266,
2,299,,0.7529411911964417,,0.5609064102172852
2,349,,0.8421052694320679,,0.43490031361579895
2,399,,0.761904776096344,,0.5238782167434692
2,443,0.8115694522857666,,0.47334516048431396,
